t,x1,x2
0,7.45332e-07,0
0.296644,7.78859e-07,2.31043e-07
0.511288,8.49407e-07,4.3429e-07
0.692535,9.47316e-07,6.56047e-07
0.853172,1.07254e-06,9.15055e-07
0.998703,1.22725e-06,1.22566e-06
1.13229,1.41497e-06,1.60215e-06
1.25605,1.64033e-06,2.06033e-06
1.37154,1.9091e-06,2.6184e-06
1.47997,2.22827e-06,3.29777e-06
1.58231,2.60627e-06,4.12391e-06
1.67935,3.05318e-06,5.12735e-06
1.76893,3.56309e-06,6.30286e-06
1.85167,4.13884e-06,7.66376e-06
1.92847,4.78541e-06,9.22851e-06
2.00011,5.5085e-06,1.10176e-05
2.06724,6.31424e-06,1.3053e-05
2.13038,7.20908e-06,1.53581e-05
2.18999,8.1998e-06,1.79575e-05
2.24644,9.29351e-06,2.08773e-05
2.30003,1.04976e-05,2.41449e-05
2.35363,1.18919e-05,2.79891e-05
2.40261,1.33611e-05,3.21014e-05
2.44909,1.49556e-05,3.66275e-05
2.49556,1.67766e-05,4.1867e-05
2.53846,1.86895e-05,4.74425e-05
2.58136,2.08589e-05,5.38443e-05
2.62097,2.31229e-05,6.06044e-05
2.66059,2.56728e-05,6.83048e-05
2.69734,2.83292e-05,7.64134e-05
2.73409,3.13026e-05,8.55843e-05
2.76836,3.43971e-05,9.52234e-05
2.80262,3.78418e-05,0.000106056
2.83471,4.14236e-05,0.000117424
2.86679,4.53912e-05,0.000130127
2.89695,4.9513e-05,0.000143437
2.92711,5.40583e-05,0.000158235
2.95556,5.87763e-05,0.000173717
2.98401,6.39577e-05,0.00019085
3.01092,6.93314e-05,0.000208751
3.03784,7.5211e-05,0.000228479
3.06337,8.13036e-05,0.000249063
3.0889,8.79471e-05,0.00027166
3.11444,9.51955e-05,0.00029648
3.13822,0.000102544,0.000321806
3.16201,0.000110523,0.000349473
3.18579,0.000119189,0.000379712
3.20797,0.000127944,0.00041044
3.23014,0.00013741,0.000443852
3.25231,0.000147648,0.000480198
3.27305,0.000157987,0.000517101
3.2938,0.000169123,0.000557057
3.31454,0.000181122,0.000600335
3.33402,0.00019324,0.000644266
3.35351,0.000206247,0.00069165
3.37299,0.000220213,0.000742777
3.39135,0.000234321,0.000794663
3.40971,0.000249416,0.000850435
3.42807,0.000265573,0.000910403
3.44542,0.000281895,0.000971249
3.46278,0.000299311,0.00103645
3.48013,0.000317898,0.00110633
3.49658,0.000336676,0.00117722
3.51304,0.000356659,0.00125296
3.52949,0.000377931,0.0013339
3.54594,0.00040058,0.00142043
3.56136,0.000423139,0.00150695
3.57677,0.000447074,0.00159908
3.59219,0.000472476,0.00169722
3.60761,0.000499439,0.00180178
3.62207,0.000526248,0.00190611
3.63654,0.000554611,0.00201686
3.651,0.000584625,0.00213447
3.66546,0.000616393,0.00225937
3.67908,0.000647989,0.002384
3.69269,0.000681332,0.00251595
3.7063,0.000716522,0.00265565
3.71991,0.00075367,0.00280359
3.73277,0.000790641,0.00295128
3.74562,0.000829562,0.00310722
3.75847,0.000870544,0.00327191
3.77132,0.0009137,0.00344586
3.78349,0.000956678,0.00361958
3.79566,0.00100183,0.00380259
3.80783,0.00104926,0.0039954
3.81999,0.0010991,0.00419856
3.83154,0.00114876,0.00440154
3.8431,0.00120083,0.0046149
3.85465,0.00125542,0.00483921
3.8662,0.00131267,0.00507505
3.87775,0.00137272,0.00532305
3.88863,0.00143195,0.00556834
3.89951,0.00149392,0.00582557
3.91039,0.00155876,0.00609536
3.92127,0.0016266,0.00637835
3.93215,0.0016976,0.00667522
3.94241,0.00176759,0.00696855
3.95267,0.00184065,0.00727549
3.96293,0.00191694,0.00759669
3.97319,0.0019966,0.00793286
3.98345,0.00207978,0.00828472
