t,x1,x2
0,1.94839,-1.54623
0.0540754,1.86759,-1.44308
0.108151,1.79224,-1.34416
0.162226,1.72214,-1.24919
0.216302,1.65708,-1.15797
0.270377,1.59684,-1.07033
0.324452,1.54126,-0.986169
0.378528,1.49013,-0.90547
0.432603,1.44327,-0.82828
0.509634,1.3835,-0.724611
0.586666,1.33143,-0.628792
0.663697,1.28641,-0.541404
0.740728,1.24779,-0.462947
0.81776,1.21486,-0.393682
0.894791,1.1869,-0.333531
0.971822,1.16325,-0.282054
1.04885,1.14325,-0.238527
1.12588,1.12632,-0.202045
1.20292,1.11196,-0.17164
1.27995,1.09974,-0.146371
1.35698,1.0893,-0.12538
1.43401,1.08034,-0.107919
1.51104,1.0726,-0.0933557
1.58807,1.06589,-0.0811647
1.6651,1.06005,-0.0709161
1.74213,1.05493,-0.0622607
1.81917,1.05042,-0.0549157
1.93044,1.04482,-0.0461654
2.04172,1.04008,-0.0391446
2.15299,1.03605,-0.0334567
2.26427,1.0326,-0.028806
2.37554,1.02961,-0.0249703
2.53293,1.02604,-0.0206171
2.69031,1.02307,-0.0172141
2.84769,1.02059,-0.0145173
3.00508,1.01848,-0.0123538
3.22592,1.01602,-0.00998456
3.44677,1.01403,-0.0081834
3.66762,1.01238,-0.00679014
3.88847,1.011,-0.00569575
4.20862,1.00938,-0.00449019
4.52876,1.0081,-0.00360208
4.84891,1.00705,-0.0029335
5.29701,1.0059,-0.00224913
5.74511,1.00501,-0.00176209
6.1932,1.0043,-0.0014061
6.83281,1.00353,-0.00104658
7.47241,1.00294,-0.000799869
8.11201,1.00249,-0.000624979
9.05423,1.00199,-0.000449255
9.99645,1.00162,-0.000333669
10.9387,1.00135,-0.000254544
12.3806,1.00104,-0.000175433
13.8225,1.00083,-0.000125953
15.8905,1.00062,-8.27799e-05
17.9584,1.00047,-5.72453e-05
20.9706,1.00034,-3.58279e-05
23.9828,1.00025,-2.38443e-05
28.5194,1.00017,-1.40478e-05
33.056,1.00011,-8.90552e-06
40.1822,1.00007,-4.81458e-06
47.3085,1.00004,-2.8249e-06
59.0848,1.00002,-1.29274e-06
76.1897,1,-4.30429e-07
101.033,1,4.19317e-12
