t,f1,f2
0,0.124997,-1
0.005,0.122741,-0.902862
0.01,0.120722,-0.904773
0.015,0.118815,-0.85816
0.02,0.11702,-0.859825
0.025,0.115306,-0.825986
0.03,0.113672,-0.827491
0.035,0.112103,-0.800101
0.04,0.110599,-0.801488
0.045,0.109151,-0.778166
0.05,0.107757,-0.779461
0.055,0.106411,-0.759009
0.06,0.105112,-0.760231
0.065,0.103857,-0.741948
0.07,0.102645,-0.743109
0.075,0.101471,-0.726544
0.08,0.100335,-0.727657
0.085,0.0992349,-0.712496
0.09,0.0981698,-0.713569
0.095,0.097137,-0.699588
0.1,0.0961365,-0.70063
0.105,0.0951659,-0.687658
0.11,0.0942251,-0.688675
0.115,0.093312,-0.676582
0.12,0.0924267,-0.677579
0.125,0.0915672,-0.666262
0.13,0.0907334,-0.667246
0.135,0.0899238,-0.656619
0.14,0.0891383,-0.657594
0.145,0.0883755,-0.647589
0.15,0.0876351,-0.64856
0.155,0.086916,-0.639119
0.16,0.086218,-0.640089
0.165,0.0855399,-0.631163
0.17,0.0848817,-0.632134
0.175,0.0842422,-0.623682
0.18,0.0836214,-0.624658
0.185,0.0830182,-0.616641
0.19,0.0824326,-0.617623
0.195,0.0818636,-0.610011
0.2,0.081311,-0.611001
0.205,0.0807742,-0.603764
0.21,0.0802529,-0.604763
0.215,0.0797463,-0.597876
0.22,0.0792544,-0.598885
0.225,0.0787765,-0.592325
0.23,0.0783123,-0.593344
0.235,0.0778613,-0.58709
0.24,0.0774233,-0.58812
0.245,0.0769976,-0.582153
0.25,0.0765843,-0.583192
0.255,0.0761826,-0.577495
0.26,0.0757925,-0.578544
0.265,0.0754135,-0.573101
0.27,0.0750453,-0.574159
0.275,0.0746876,-0.568955
0.28,0.0743401,-0.570022
0.285,0.0740025,-0.565044
0.29,0.0736746,-0.566118
0.295,0.073356,-0.561353
0.3,0.0730465,-0.562434
0.305,0.0727458,-0.55787
0.31,0.0724537,-0.558957
0.315,0.0721699,-0.554584
0.32,0.0718942,-0.555676
0.325,0.0716264,-0.551483
0.33,0.0713662,-0.552579
0.335,0.0711134,-0.548557
0.34,0.0708679,-0.549656
0.345,0.0706293,-0.545796
0.35,0.0703976,-0.546897
0.355,0.0701724,-0.54319
0.36,0.0699537,-0.544293
0.365,0.0697411,-0.540732
0.37,0.0695347,-0.541835
0.375,0.0693341,-0.538412
0.38,0.0691393,-0.539514
0.385,0.06895,-0.536223
0.39,0.0687661,-0.537324
0.395,0.0685874,-0.534157
0.4,0.0684139,-0.535256
0.405,0.0682453,-0.532209
0.41,0.0680815,-0.533304
0.415,0.0679223,-0.53037
0.42,0.0677678,-0.531461
0.425,0.0676175,-0.528634
0.43,0.0674716,-0.529721
0.435,0.0673299,-0.526997
0.44,0.0671922,-0.528079
0.445,0.0670584,-0.525453
0.45,0.0669284,-0.526528
0.455,0.0668021,-0.523995
0.46,0.0666795,-0.525064
0.465,0.0665603,-0.52262
0.47,0.0664445,-0.523682
0.475,0.066332,-0.521323
0.48,0.0662228,-0.522377
0.485,0.0661166,-0.520099
0.49,0.0660135,-0.521145
0.495,0.0659133,-0.518944
0.5,0.065816,-0.519982
0.505,0.0657214,-0.517855
0.51,0.0656295,-0.518884
0.515,0.0655403,-0.516827
0.52,0.0654536,-0.517847
0.525,0.0653693,-0.515858
0.53,0.0652875,-0.516867
0.535,0.065208,-0.514943
0.54,0.0651308,-0.515943
0.545,0.0650557,-0.51408
0.55,0.0649829,-0.51507
0.555,0.064912,-0.513267
0.56,0.0648433,-0.514245
0.565,0.0647764,-0.512499
0.57,0.0647115,-0.513467
0.575,0.0646484,-0.511775
0.58,0.0645871,-0.512732
0.585,0.0645276,-0.511091
0.59,0.0644698,-0.512038
0.595,0.0644136,-0.510447
0.6,0.064359,-0.511382
0.605,0.0643059,-0.509839
0.61,0.0642544,-0.510763
0.615,0.0642044,-0.509266
0.62,0.0641558,-0.510178
0.625,0.0641085,-0.508726
0.63,0.0640626,-0.509626
0.635,0.064018,-0.508216
0.64,0.0639747,-0.509104
0.645,0.0639326,-0.507735
0.65,0.0638918,-0.508612
0.655,0.063852,-0.507281
0.66,0.0638135,-0.508147
0.665,0.063776,-0.506854
0.67,0.0637396,-0.507707
0.675,0.0637042,-0.50645
0.68,0.0636698,-0.507292
0.685,0.0636364,-0.50607
0.69,0.063604,-0.5069
0.695,0.0635725,-0.505711
0.7,0.0635419,-0.50653
0.705,0.0635121,-0.505373
0.71,0.0634832,-0.50618
0.715,0.0634552,-0.505054
0.72,0.0634279,-0.505849
0.725,0.0634014,-0.504754
0.73,0.0633757,-0.505537
0.735,0.0633507,-0.50447
0.74,0.0633264,-0.505242
0.745,0.0633028,-0.504203
0.75,0.0632798,-0.504963
0.755,0.0632576,-0.503951
0.76,0.0632359,-0.5047
0.765,0.0632149,-0.503714
0.77,0.0631945,-0.504451
0.775,0.0631746,-0.50349
0.78,0.0631554,-0.504216
0.785,0.0631366,-0.503279
0.79,0.0631185,-0.503994
0.795,0.0631008,-0.50308
0.8,0.0630836,-0.503784
0.805,0.0630669,-0.502893
0.81,0.0630507,-0.503585
0.815,0.063035,-0.502716
0.82,0.0630197,-0.503398
0.825,0.0630048,-0.502549
0.83,0.0629904,-0.503221
0.835,0.0629764,-0.502393
0.84,0.0629628,-0.503053
0.845,0.0629495,-0.502245
0.85,0.0629367,-0.502895
0.855,0.0629242,-0.502105
0.86,0.062912,-0.502745
0.865,0.0629003,-0.501974
0.87,0.0628888,-0.502604
0.875,0.0628777,-0.501851
0.88,0.0628669,-0.50247
0.885,0.0628564,-0.501734
0.89,0.0628462,-0.502344
0.895,0.0628362,-0.501625
0.9,0.0628266,-0.502224
