t,f1,f2
0,0.533333,0.299538
0.005,0.534788,0.282834
0.01,0.536162,0.266606
0.015,0.537455,0.249793
0.02,0.538662,0.231442
0.025,0.539772,0.210736
0.03,0.540772,0.187375
0.035,0.541649,0.161241
0.04,0.54239,0.132777
0.045,0.542983,0.102397
0.05,0.543421,0.0709225
0.055,0.5437,0.0388896
0.06,0.543818,0.00709013
0.065,0.543779,-0.0241048
0.07,0.543586,-0.0541207
0.075,0.543245,-0.0828215
0.08,0.542765,-0.109854
0.085,0.542154,-0.135266
0.09,0.541419,-0.15886
0.095,0.540571,-0.180791
0.1,0.539617,-0.200954
0.105,0.538567,-0.219554
0.11,0.537427,-0.236533
0.115,0.536205,-0.252109
0.12,0.53491,-0.266248
0.125,0.533546,-0.279162
0.13,0.532122,-0.290824
0.135,0.530641,-0.301433
0.14,0.52911,-0.310963
0.145,0.527534,-0.319597
0.15,0.525916,-0.327307
0.155,0.524263,-0.334258
0.16,0.522576,-0.340421
0.165,0.52086,-0.345943
0.17,0.519118,-0.350795
0.175,0.517353,-0.355108
0.18,0.515568,-0.358851
0.185,0.513766,-0.362141
0.19,0.511948,-0.364946
0.195,0.510117,-0.367373
0.2,0.508275,-0.369386
0.205,0.506424,-0.371084
0.21,0.504565,-0.37243
0.215,0.5027,-0.373512
0.22,0.500831,-0.374296
0.225,0.498958,-0.37486
0.23,0.497083,-0.375169
0.235,0.495207,-0.375297
0.24,0.49333,-0.375208
0.245,0.491455,-0.374969
0.25,0.489581,-0.374545
0.255,0.48771,-0.373997
0.26,0.485841,-0.373293
0.265,0.483977,-0.372487
0.27,0.482117,-0.371546
0.275,0.480262,-0.370524
0.28,0.478412,-0.369387
0.285,0.476568,-0.368184
0.29,0.47473,-0.366884
0.295,0.472899,-0.365531
0.3,0.471075,-0.364095
0.305,0.469258,-0.362617
0.31,0.467449,-0.361069
0.315,0.465648,-0.359488
0.32,0.463854,-0.357848
0.325,0.462069,-0.356183
0.33,0.460293,-0.354467
0.335,0.458525,-0.352734
0.34,0.456766,-0.350958
0.345,0.455015,-0.34917
0.35,0.453274,-0.347345
0.355,0.451542,-0.345513
0.36,0.449819,-0.34365
0.365,0.448105,-0.341785
0.37,0.446401,-0.339893
0.375,0.444706,-0.338002
0.38,0.443021,-0.336089
0.385,0.441346,-0.334178
0.39,0.439679,-0.33225
0.395,0.438023,-0.330328
0.4,0.436376,-0.32839
0.405,0.434739,-0.32646
0.41,0.433112,-0.324518
0.415,0.431494,-0.322584
0.42,0.429886,-0.320641
0.425,0.428287,-0.318709
0.43,0.426699,-0.316768
0.435,0.42512,-0.314839
0.44,0.42355,-0.312905
0.445,0.421991,-0.310982
0.45,0.420441,-0.309056
0.455,0.4189,-0.307142
0.46,0.417369,-0.305226
0.465,0.415848,-0.303323
0.47,0.414336,-0.301419
0.475,0.412834,-0.299528
0.48,0.411341,-0.297638
0.485,0.409857,-0.295762
0.49,0.408383,-0.293886
0.495,0.406918,-0.292025
0.5,0.405463,-0.290166
0.505,0.404017,-0.288321
0.51,0.40258,-0.286478
0.515,0.401152,-0.284651
0.52,0.399733,-0.282826
0.525,0.398324,-0.281017
0.53,0.396923,-0.279211
0.535,0.395532,-0.27742
0.54,0.394149,-0.275633
0.545,0.392775,-0.273861
0.55,0.39141,-0.272093
0.555,0.390054,-0.270341
0.56,0.388707,-0.268593
0.565,0.387368,-0.266861
0.57,0.386038,-0.265134
0.575,0.384717,-0.263422
0.58,0.383404,-0.261715
0.585,0.3821,-0.260023
0.59,0.380804,-0.258337
0.595,0.379516,-0.256666
0.6,0.378237,-0.255001
0.605,0.376966,-0.25335
0.61,0.375704,-0.251706
0.615,0.374449,-0.250076
0.62,0.373203,-0.248453
