\(t\),\({x=0.0}\),\({x=0.2}\),\({x=0.4}\),\({x=0.6}\),\({x=0.8}\),\({x=1.0}\)
0.0,nan,nan,nan,nan,nan,nan
0.1,1.810762,1.800378,1.760228,1.845111,1.768369,1.913497
0.2,1.854214,1.867483,1.899229,1.948168,1.992453,2.022543
0.3,1.916893,1.924899,1.948351,1.980857,2.029376,2.017613
0.4,1.955249,1.961023,1.977599,2.001727,2.030965,2.058469
0.5,1.979781,1.98552,1.996477,2.017395,2.052031,2.04106
0.6,1.998663,2.00272,2.012894,2.030542,2.05783,2.085094
0.7,2.014613,2.016907,2.02496,2.040816,2.067276,2.053802
0.8,2.026645,2.028969,2.036079,2.05018,2.076619,2.112406
0.9,2.036397,2.038657,2.045411,2.058762,2.082524,2.058422
1.0,2.045722,2.047883,2.054106,2.066882,2.092411,2.143016
