\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0961288,0.0887667,0.0686028,0.0413999,0.0166897,0.00631418
0.2,0.0924953,0.085612,0.0668847,0.0420466,0.0202154,0.0113727
0.3,0.0891003,0.0826957,0.0653942,0.0428069,0.0234075,0.0156977
0.4,0.0859435,0.0800143,0.0641043,0.0436041,0.0262804,0.0194752
0.5,0.0830229,0.0775595,0.062983,0.044394,0.0288659,0.0228128
0.6,0.0803332,0.0753187,0.0620019,0.0451527,0.0311955,0.0257831
0.7,0.0778657,0.0732778,0.0611374,0.0458681,0.0332967,0.0284393
0.8,0.0756088,0.0714214,0.0603711,0.0465346,0.0351939,0.0308226
0.9,0.0735496,0.0697348,0.0596884,0.0471506,0.0369082,0.0329664
1,0.0716739,0.0682034,0.0590777,0.0477169,0.0384581,0.034898
