\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.404141,0.385723,0.331602,0.245231,0.132305,0
0.2,0.337533,0.322561,0.278478,0.207639,0.113502,0
0.3,0.299267,0.28646,0.248515,0.186777,0.103204,0
0.4,0.277709,0.26613,0.231661,0.175059,0.097425,0
0.5,0.265583,0.254695,0.222182,0.168469,0.0941757,0
0.6,0.258764,0.248264,0.216851,0.164763,0.0923483,0
0.7,0.254929,0.244648,0.213853,0.162678,0.0913207,0
0.8,0.252772,0.242614,0.212167,0.161506,0.0907427,0
0.9,0.251559,0.24147,0.211219,0.160847,0.0904177,0
1,0.250877,0.240827,0.210685,0.160476,0.0902349,0
